sample_idx,lambda,num_think_tokens,kept_tokens,dropped_tokens,skip_reason,occupancy@1,occupancy@2,occupancy@3,occupancy@4,occupancy@5
96,0.01,587,173,414,,0.8059701492537313,0.6958955223880597,0.649253731343283,0.6147388059701493,0.6082089552238804
97,0.01,2870,1313,1557,,0.8521739130434782,0.8434782608695652,0.8202898550724632,0.8,0.7800000000000007
98,0.01,7075,4078,2997,,0.9340659340659341,0.8846153846153846,0.904761904761905,0.8791208791208791,0.8813186813186805
99,0.01,2592,1750,842,,0.9526315789473684,0.9131578947368421,0.9035087719298247,0.8921052631578947,0.886842105263161
100,0.01,579,233,346,,0.9103139013452914,0.8385650224215246,0.8236173393124057,0.8262331838565022,0.837668161434978
101,0.01,2554,2162,392,,0.9461077844311377,0.8952095808383234,0.9021956087824352,0.9011976047904192,0.9125748502994011
102,0.01,1233,998,235,,0.9343434343434344,0.9267676767676768,0.9259259259259257,0.9065656565656566,0.9090909090909096
103,0.01,6258,4560,1698,,0.9456264775413712,0.9137115839243499,0.9141055949566596,0.9113475177304965,0.9153664302600495
104,0.01,600,372,228,,0.8272251308900523,0.6989528795811518,0.6788830715532291,0.6465968586387435,0.6418848167539255
105,0.01,358,226,132,,0.9540229885057471,0.8936781609195402,0.8754789272030652,0.8908045977011494,0.8827586206896552
106,0.01,543,412,131,,0.9533333333333334,0.91,0.8955555555555558,0.8916666666666667,0.8799999999999992
107,0.01,957,598,359,,0.9077669902912622,0.8713592233009708,0.8446601941747566,0.8288834951456311,0.8281553398058258
108,0.01,923,458,465,,0.9630606860158312,0.920844327176781,0.906772207563765,0.9135883905013192,0.9076517150395802
109,0.01,572,482,90,,0.9819277108433735,0.9216867469879518,0.9196787148594373,0.9171686746987951,0.9084337349397593
110,0.01,803,569,234,,0.9473684210526315,0.9229323308270677,0.9172932330827062,0.9229323308270677,0.9067669172932344
111,0.01,476,70,406,,0.7340425531914894,0.6382978723404256,0.6241134751773045,0.6196808510638298,0.5978723404255321
112,0.01,1249,715,534,,0.9481865284974094,0.883419689119171,0.8652849740932638,0.8769430051813472,0.8611398963730573
113,0.01,635,297,338,,0.9271844660194175,0.8543689320388349,0.8818770226537208,0.8580097087378641,0.8679611650485443
114,0.01,610,361,249,,0.9461883408071748,0.9237668161434978,0.8908819133034375,0.8867713004484304,0.8798206278026919
115,0.01,715,541,174,,0.9751552795031055,0.9394409937888198,0.9368530020703935,0.9301242236024845,0.9118012422360265
116,0.01,2,,,truncated_max_new_tokens,,,,,
117,0.01,2,,,truncated_max_new_tokens,,,,,
118,0.01,1056,402,654,,0.9184782608695652,0.8478260869565217,0.8007246376811592,0.7921195652173914,0.8010869565217381
119,0.01,597,305,292,,0.8920454545454546,0.8267045454545454,0.7784090909090914,0.7642045454545454,0.7772727272727263
120,0.01,3606,2269,1337,,0.9425,0.9225,0.9075000000000011,0.8975,0.8940000000000029
121,0.01,2,,,truncated_max_new_tokens,,,,,
122,0.01,2,,,truncated_max_new_tokens,,,,,
123,0.01,752,481,271,,0.9716981132075472,0.8867924528301887,0.8805031446540882,0.8691037735849056,0.8688679245283024
124,0.01,2236,1594,642,,0.9667673716012085,0.9154078549848943,0.8821752265861029,0.9033232628398792,0.8948640483383711
125,0.01,400,308,92,,0.95625,0.93125,0.9145833333333329,0.93125,0.9187500000000005
126,0.01,1011,432,579,,0.950354609929078,0.9113475177304965,0.8747044917257689,0.8865248226950354,0.8751773049645382
127,0.01,597,356,241,,0.9544235924932976,0.8739946380697051,0.8873994638069711,0.8967828418230563,0.8873994638069735
128,0.01,2450,2034,416,,0.9622641509433962,0.9481132075471698,0.9292452830188677,0.9316037735849056,0.9396226415094343
129,0.01,2265,1714,551,,0.8913043478260869,0.8641304347826086,0.8695652173913033,0.8632246376811594,0.8557971014492769
130,0.01,748,622,126,,0.9493670886075949,0.9261603375527426,0.9142053445850907,0.9219409282700421,0.915611814345993
131,0.01,3584,2424,1160,,0.9634551495016611,0.9036544850498339,0.9003322259136207,0.8845514950166113,0.8830564784053178
132,0.01,388,321,67,,0.9305555555555556,0.8923611111111112,0.8935185185185193,0.8923611111111112,0.8833333333333322
133,0.01,659,467,192,,0.9289340101522843,0.8401015228426396,0.8443316412859555,0.850253807106599,0.8294416243654827
134,0.01,594,326,268,,0.9285714285714286,0.8511904761904762,0.8412698412698416,0.84375,0.8333333333333327
135,0.01,664,646,18,,0.9840764331210191,0.9554140127388535,0.9437367303609343,0.9394904458598726,0.9414012738853514
136,0.01,792,408,384,,0.934375,0.8890625,0.8968749999999996,0.89921875,0.8950000000000019
137,0.01,1213,641,572,,0.6313725490196078,0.6215686274509804,0.5542483660130718,0.5078431372549019,0.49725490196078415
138,0.01,394,128,266,,0.8409090909090909,0.7931818181818182,0.8151515151515148,0.7931818181818182,0.7981818181818188
139,0.01,2,,,truncated_max_new_tokens,,,,,
140,0.01,942,937,5,,0.9940828402366864,0.9955621301775148,0.9802761341222882,0.988905325443787,0.9816568047337282
141,0.01,405,258,147,,0.9409090909090909,0.9181818181818182,0.9106060606060604,0.9079545454545455,0.9018181818181827
142,0.01,2118,972,1146,,0.9088319088319088,0.8461538461538461,0.8518518518518516,0.8490028490028491,0.8438746438746466
143,0.01,919,712,207,,0.9493670886075949,0.9177215189873418,0.90576652601969,0.8997890295358649,0.8970464135021106
144,0.01,658,171,487,,0.9204545454545454,0.8541666666666666,0.8648989898989885,0.8513257575757576,0.851515151515153
145,0.01,574,317,257,,0.9148148148148149,0.7814814814814814,0.766666666666666,0.7601851851851852,0.7703703703703714
146,0.01,597,174,423,,0.915929203539823,0.8694690265486725,0.8569321533923295,0.8595132743362832,0.8566371681415941
147,0.01,538,226,312,,0.9743589743589743,0.8653846153846154,0.8333333333333339,0.8365384615384616,0.8256410256410246
148,0.01,379,342,37,,0.9618320610687023,0.9083969465648855,0.893129770992367,0.9045801526717557,0.9083969465648849
149,0.01,1180,682,498,,0.9577464788732394,0.926056338028169,0.8896713615023466,0.8829225352112676,0.9035211267605648
150,0.01,430,322,108,,0.9433962264150944,0.89937106918239,0.8846960167714882,0.9009433962264151,0.8867924528301884
151,0.01,601,395,206,,0.9545454545454546,0.8863636363636364,0.8787878787878793,0.8731060606060606,0.8878787878787874
152,0.01,650,451,199,,0.9558011049723757,0.9033149171270718,0.9097605893186,0.9171270718232044,0.9027624309392266
153,0.01,454,356,98,,0.9457831325301205,0.9006024096385542,0.8895582329317269,0.8810240963855421,0.8963855421686746
154,0.01,2,,,truncated_max_new_tokens,,,,,
155,0.01,1365,585,780,,0.9350282485875706,0.8728813559322034,0.8672316384180794,0.8665254237288136,0.8564971751412458
156,0.01,650,138,512,,0.9061224489795918,0.8428571428571429,0.8285714285714278,0.823469387755102,0.8065306122448993
157,0.01,1060,903,157,,0.957983193277311,0.8928571428571429,0.9089635854341728,0.9012605042016807,0.901680672268909
158,0.01,4899,1075,3824,,0.40239043824701193,0.34063745019920316,0.30411686586985404,0.2948207171314741,0.29163346613545854
159,0.01,2238,1925,313,,0.9326599326599326,0.9410774410774411,0.9393939393939396,0.9335016835016835,0.9265993265993278
160,0.01,6920,5881,1039,,0.9625,0.9270833333333334,0.9319444444444442,0.925,0.9208333333333342
161,0.01,400,233,167,,0.9428571428571428,0.9333333333333333,0.8984126984126987,0.9,0.885714285714285
