sample_idx,lambda,num_think_tokens,kept_tokens,dropped_tokens,skip_reason,occupancy@1,occupancy@2,occupancy@3,occupancy@4,occupancy@5
93,0.001,574,351,223,,0.898989898989899,0.8535353535353535,0.8670033670033667,0.8661616161616161,0.8515151515151518
94,0.001,504,443,61,,0.9733333333333334,0.9533333333333334,0.9333333333333336,0.945,0.9319999999999997
95,0.001,1726,1478,248,,0.975,0.9416666666666667,0.9236111111111103,0.9197916666666667,0.9108333333333343
96,0.001,587,297,290,,0.8768656716417911,0.792910447761194,0.7686567164179096,0.7527985074626866,0.7552238805970157
97,0.001,2870,2459,411,,0.9391304347826087,0.8956521739130435,0.8797101449275354,0.875,0.8513043478260882
98,0.001,7075,6648,427,,0.967032967032967,0.9175824175824175,0.9413919413919413,0.9093406593406593,0.9230769230769228
99,0.001,2592,1784,808,,0.9447368421052632,0.9026315789473685,0.8754385964912286,0.8802631578947369,0.8778947368421077
100,0.001,579,235,344,,0.905829596412556,0.8430493273542601,0.8206278026905822,0.8329596412556054,0.8358744394618838
101,0.001,2554,2125,429,,0.9520958083832335,0.8832335329341318,0.9001996007984031,0.8877245508982036,0.9017964071856286
102,0.001,1233,984,249,,0.9393939393939394,0.9267676767676768,0.9225589225589224,0.9053030303030303,0.9050505050505055
103,0.001,6258,5566,692,,0.9598108747044918,0.9243498817966903,0.9172576832151313,0.9231678486997635,0.9295508274231697
104,0.001,600,378,222,,0.8272251308900523,0.7094240837696335,0.6806282722513095,0.6531413612565445,0.6345549738219884
105,0.001,358,308,50,,0.9827586206896551,0.9454022988505747,0.9214559386973178,0.9339080459770115,0.9160919540229888
106,0.001,543,440,103,,0.96,0.9,0.9199999999999998,0.9,0.9079999999999996
107,0.001,957,615,342,,0.9320388349514563,0.8932038834951457,0.8818770226537214,0.8652912621359223,0.858252427184467
108,0.001,923,458,465,,0.9604221635883905,0.91688654353562,0.9041336851363243,0.9116094986807388,0.9055408970976279
109,0.001,572,479,93,,0.9819277108433735,0.9246987951807228,0.9216867469879515,0.9156626506024096,0.9084337349397593
110,0.001,803,537,266,,0.9360902255639098,0.9097744360902256,0.9122807017543849,0.8956766917293233,0.8902255639097761
111,0.001,476,69,407,,0.7659574468085106,0.6329787234042553,0.6276595744680848,0.6170212765957447,0.6042553191489362
112,0.001,1249,1064,185,,0.927461139896373,0.8911917098445595,0.8635578583765106,0.8471502590673575,0.8497409326424871
113,0.001,635,326,309,,0.941747572815534,0.8640776699029126,0.8802588996763745,0.8713592233009708,0.8825242718446613
114,0.001,610,384,226,,0.9641255605381166,0.9260089686098655,0.9013452914798201,0.8946188340807175,0.8843049327354271
115,0.001,715,540,175,,0.9751552795031055,0.9394409937888198,0.9316770186335404,0.9332298136645962,0.9118012422360265
116,0.001,2,,,truncated_max_new_tokens,,,,,
117,0.001,2,,,truncated_max_new_tokens,,,,,
118,0.001,1056,518,538,,0.9239130434782609,0.8668478260869565,0.8478260869565214,0.8315217391304348,0.843478260869565
119,0.001,597,360,237,,0.9090909090909091,0.8664772727272727,0.8200757575757579,0.796875,0.8215909090909083
120,0.001,3606,2666,940,,0.9575,0.93,0.922500000000001,0.918125,0.9130000000000028
121,0.001,2,,,truncated_max_new_tokens,,,,,
122,0.001,2,,,truncated_max_new_tokens,,,,,
123,0.001,752,589,163,,0.9528301886792453,0.9198113207547169,0.8867924528301884,0.8785377358490566,0.8745283018867936
124,0.001,2236,2033,203,,0.9788519637462235,0.9486404833836858,0.9385699899295072,0.9282477341389728,0.9293051359516638
125,0.001,400,290,110,,0.95625,0.890625,0.875,0.9078125,0.8824999999999996
126,0.001,1011,905,106,,0.9290780141843972,0.9042553191489362,0.9007092198581563,0.9042553191489362,0.895035460992907
127,0.001,597,385,212,,0.9597855227882037,0.8981233243967829,0.8891867739052733,0.8981233243967829,0.8981233243967858
128,0.001,2450,1674,776,,0.8632075471698113,0.8797169811320755,0.8537735849056598,0.8573113207547169,0.8641509433962274
129,0.001,2265,2122,143,,0.9637681159420289,0.9311594202898551,0.934782608695652,0.9166666666666666,0.9188405797101464
130,0.001,748,548,200,,0.9620253164556962,0.9135021097046413,0.9071729957805901,0.9219409282700421,0.9215189873417736
131,0.001,3584,2528,1056,,0.946843853820598,0.8853820598006644,0.8504983388704311,0.8480066445182725,0.8531561461794039
132,0.001,388,310,78,,0.9375,0.8784722222222222,0.8912037037037046,0.8854166666666666,0.8791666666666654
133,0.001,659,463,196,,0.9187817258883249,0.8223350253807107,0.8392554991539757,0.8324873096446701,0.8253807106598987
134,0.001,594,331,263,,0.9166666666666666,0.8511904761904762,0.8432539682539686,0.8482142857142857,0.8392857142857136
135,0.001,664,390,274,,0.9522292993630573,0.8821656050955414,0.8874734607218684,0.8694267515923567,0.8815286624203844
136,0.001,792,364,428,,0.940625,0.8859375,0.8864583333333332,0.89375,0.8943750000000021
137,0.001,1213,633,580,,0.6274509803921569,0.6058823529411764,0.5437908496732027,0.5127450980392156,0.501176470588235
138,0.001,394,319,75,,0.9272727272727272,0.8704545454545455,0.8787878787878783,0.85,0.8727272727272737
139,0.001,2,,,truncated_max_new_tokens,,,,,
140,0.001,942,937,5,,0.9940828402366864,0.9955621301775148,0.9802761341222882,0.988905325443787,0.9816568047337282
141,0.001,405,168,237,,0.9363636363636364,0.9272727272727272,0.8818181818181813,0.8977272727272727,0.8827272727272734
142,0.001,2118,913,1205,,0.8917378917378918,0.8390313390313391,0.8414055080721745,0.834045584045584,0.8313390313390338
143,0.001,919,688,231,,0.9578059071729957,0.9071729957805907,0.90857946554149,0.8997890295358649,0.8928270042194102
144,0.001,658,149,509,,0.9242424242424242,0.8674242424242424,0.8598484848484836,0.8513257575757576,0.8530303030303048
145,0.001,574,304,270,,0.9185185185185185,0.7981481481481482,0.781481481481481,0.7685185185185185,0.7770370370370381
146,0.001,597,172,425,,0.9247787610619469,0.8694690265486725,0.8510324483775803,0.8584070796460177,0.8469026548672576
147,0.001,538,477,61,,0.9807692307692307,0.9423076923076923,0.9145299145299145,0.9358974358974359,0.9192307692307691
148,0.001,379,320,59,,0.916030534351145,0.9122137404580153,0.8625954198473289,0.8702290076335878,0.8671755725190832
149,0.001,1180,642,538,,0.954225352112676,0.9137323943661971,0.8861502347417829,0.8626760563380281,0.8859154929577483
150,0.001,430,345,85,,0.9559748427672956,0.9119496855345912,0.9056603773584906,0.9056603773584906,0.90062893081761
